PUE,WUE,Case,Climate Zone,Cooling system (Original),Cooling system,Data center size,type,Case (Original)
1.0832256,1.938889503479004,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1298772,2.002584934234619,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1346493,2.2323293685913086,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1036351,2.182316541671753,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1741502,2.175044059753418,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0613179,1.8313738107681277,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.141211,2.323904037475586,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1240329,2.107471704483032,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0576944,2.0936262607574463,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0922306,2.2751410007476807,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1503671,2.7381880283355717,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1116545,2.217082977294922,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.104955,2.3062806129455566,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0958191,1.9782453775405884,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1685044,2.5494418144226074,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1177952,1.8299640417099,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0774038,2.0776398181915283,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.118892,2.2813503742218018,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1000204,2.000215768814087,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1096647,1.954189896583557,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1063981,2.28061842918396,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1289616,2.318959474563598,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0516145,2.328436374664306,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0943118,2.47853422164917,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1350877,2.2912604808807373,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0890864,2.4663374423980717,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0887998,2.4916372299194336,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.092106,1.840287446975708,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1753973,2.0800650119781494,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1398978,2.258575916290283,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0838996,1.967233180999756,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1633813,1.984790563583374,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1753664,2.230348587036133,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1458399,2.007809638977051,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1265006,1.9553015232086184,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1580718,2.2281830310821533,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0720962,2.271029233932495,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0624652,2.0818490982055664,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0947461,2.378762006759644,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1374434,1.9255117177963257,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0776547,2.4575390815734863,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0587186,2.1904425621032715,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.154223,2.2069849967956543,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.122429,2.0927865505218506,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.5448363,1.7406071424484253,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.470429,1.5691951513290403,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3724806,1.8040813207626345,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3073692,1.2690751552581787,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4147753,1.2446247339248655,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.2504491,1.219794511795044,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3922838,1.6338865756988523,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4568621,1.560611605644226,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.3675269,1.294846773147583,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4796191,1.70193612575531,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
1.4883407,1.3869556188583374,3,7,Airside economizer& (water-cooled chiller),Airside economizer (water-cooled chiller),Midsize,Cluster 2,3
